id,level,system,label,note,raw_line
0,FATAL,BGL,0,"дамп регистра (machine state) — телеметрия, не сбой",050614 103726 770646 FATAL BGL|RAS.KERNEL: machine state register: 0x00002000
1,FATAL,BGL,1,,"050711 125451 111691 FATAL BGL|RAS.APP: ciod: Error loading /home/greeno/raptor.new.dev.3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory"
2,FATAL,BGL,0,дамп состояния кэша — телеметрия,050614 105848 771928 FATAL BGL|RAS.KERNEL: guaranteed data cache block touch........1
3,FATAL,BGL,0,поле data store interrupt (=0) — телеметрия,050614 104158 770918 FATAL BGL|RAS.KERNEL: data store interrupt caused by icbi.........0
4,FATAL,BGL,0,поле выравнивания (=0) — телеметрия,050605 081046 984246 FATAL BGL|RAS.KERNEL: force load/store alignment...............0
5,FATAL,BGL,0,дамп exception syndrome register — телеметрия,050614 101850 769530 FATAL BGL|RAS.KERNEL: exception syndrome register: 0x00800000
6,FATAL,BGL,0,дамп core config register — телеметрия,050614 105208 771528 FATAL BGL|RAS.KERNEL: core configuration register: 0x00002000
7,FATAL,BGL,1,,"051013 050214 204934 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/followup/SPASM/spasm.254: invalid or missing program image, Permission denied"
8,FATAL,BGL,1,,"050812 232512 914312 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error"
9,FATAL,BGL,1,,"051103 084746 36466 FATAL BGL|RAS.APP: ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.18a/bin/ddcMDGbglV: invalid or missing program image, No such file or directory"
10,FATAL,BGL,1,,"051115 192118 111278 FATAL BGL|RAS.KERNEL: Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=009756d5 8bfa0003 00000002 00000000) PSR0=20021f01 PSR1=00000000 PRXF=00000002 PIXF=00000007"
11,FATAL,BGL,1,,"051020 080309 820589 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/followup/RAPTOR/new.raptor.trace: invalid or missing program image, Exec format error"
12,FATAL,BGL,1,,"051209 121416 159256 FATAL BGL|RAS.APP: ciod: Error loading /p/gb1/stella/SPPM/1322/sppm_DD: invalid or missing program image, Permission denied"
13,FATAL,BGL,1,,"051114 182541 21541 FATAL BGL|RAS.KERNEL: Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=00ce22e8 e6200003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007"
14,FATAL,BGL,0,порог icache prefetch (=0) — телеметрия,050614 110202 772122 FATAL BGL|RAS.KERNEL: icache prefetch threshold................0
15,FATAL,BGL,1,,050815 214519 167519 FATAL BGL|RAS.KERNEL: rts: kernel terminated for reason 1003
16,FATAL,BGL,1,,"051103 070248 30168 FATAL BGL|RAS.APP: ciod: Error loading /g/g0/spelce1/HPCC_IBM/Urgent/COP/64K/RandomAccess.64R.rts: invalid or missing program image, Permission denied"
17,FATAL,BGL,0,поле program interrupt (=0) — статус-дамп,050614 094301 767381 FATAL BGL|RAS.KERNEL: program interrupt: illegal instruction......0
18,FATAL,BGL,1,,050714 162022 383222 FATAL BGL|RAS.APP: ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied
19,FATAL,BGL,1,,"050620 162353 309833 FATAL BGL|RAS.APP: ciod: Error loading /home/draeger/testQboxhang-nozerobytebug-nosleepyescomm: invalid or missing program image, No such file or directory"
20,FATAL,BGL,1,,050831 222953 552593 FATAL BGL|RAS.KERNEL: Lustre mount FAILED : bglio559 : point /p/gb1
21,FATAL,BGL,1,,050823 045428 798068 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/home/germann2/BGL-demo) failed: No such file or directory
22,FATAL,BGL,1,,051211 191909 357549 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error
23,FATAL,BGL,1,,"050920 180115 264475 FATAL BGL|RAS.APP: ciod: Error loading /home/yates//broadcast.rts: invalid or missing program image, No such file or directory"
24,FATAL,BGL,1,,050920 181514 265314 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.05) failed: No such file or directory
25,FATAL,BGL,1,,"051001 053837 170317 FATAL BGL|RAS.APP: ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied"
26,FATAL,BGL,1,,050903 050910 749350 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/LAPACK_440d/BLAS) failed: No such file or directory
27,FATAL,BGL,1,,"051117 050215 232535 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/followup/SPaSM_static/SPaSM.460-1115: invalid or missing program image, Permission denied"
28,FATAL,BGL,0,поле floating pt (=0) — телеметрия,050614 104515 771115 FATAL BGL|RAS.KERNEL: floating pt ex mode 0 enable......0
29,FATAL,BGL,1,,050614 111527 772927 FATAL BGL|RAS.KERNEL: rts internal error
30,FATAL,BGL,1,,051121 042318 575798 FATAL BGL|RAS.KERNEL: Lustre mount FAILED : bglio78 : block_id : location
31,FATAL,BGL,0,поле debug wait enable (=0) — телеметрия,050614 112052 773252 FATAL BGL|RAS.KERNEL: debug wait enable.................0
32,FATAL,BGL,1,,"050920 180746 264866 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/SWL/performance/MINIBEN//bandwidth.rts: invalid or missing program image, No such file or directory"
33,FATAL,BGL,0,поле program interrupt (=0) — статус-дамп,050614 104739 771259 FATAL BGL|RAS.KERNEL: program interrupt: unimplemented operation..0
34,FATAL,BGL,1,,"050718 155326 727206 FATAL BGL|RAS.KERNEL: rts: kernel terminated for reason 1001rts: bad message header: invalid cpu, type=42315, cpu=105, index=1207960804, total=2691015"
35,FATAL,BGL,0,поле data store interrupt (=0) — телеметрия,050614 102631 769991 FATAL BGL|RAS.KERNEL: data store interrupt caused by dcbf.........0
36,FATAL,BGL,1,,050809 120932 614572 FATAL BGL|RAS.KERNEL: rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-
37,FATAL,BGL,1,,050902 063517 668117 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/bglscratch/bwallen/SWL/SYS-CALLS/testcases/kernel/syscalls/truncate) failed: No such file or directory
38,FATAL,BGL,1,,"051209 123325 160405 FATAL BGL|RAS.APP: ciod: Error loading /bgl/apps/SWL/stability/NEWS05/news05_DD: invalid or missing program image, Permission denied"
39,FATAL,BGL,1,,050822 074655 722015 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/home/germann2/SPaSM_static) failed: No such file or directory
40,FATAL,BGL,0,дамп data address — телеметрия,050614 093655 767015 FATAL BGL|RAS.KERNEL: data address: 0x00000002
41,FATAL,BGL,1,,050919 140353 163833 FATAL BGL|RAS.APP: ciod: LOGIN chdir(/home/yates/SWL_tests/BGL64k_SWL_tests_develop/MPI-VAL/MPITs_v050902/rundir) failed: No such file or directory
42,FATAL,Hadoop,1,,151018 180626 949460 FATAL Hadoop|org.apache.hadoop.mapred.TaskAttemptListenerImpl: Task: attempt_1445144423722_0020_m_000002_0 - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-FNANLI5/127.0.0.1 to msra-sa-41:9000 failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
43,FATAL,BGL,1,,050814 190239 71359 FATAL BGL|RAS.APP: ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed
44,FATAL,BGL,0,дамп Machine State Register — телеметрия,051226 051359 602839 FATAL BGL|RAS.KERNEL: Machine State Register: 0x0002f900
45,ERROR,BGL,1,,050701 110531 241131 ERROR BGL|NULL.DISCOVERY: Can not get assembly information for node card
